STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro #,Basin #,Owner,Maintenance,Operator,Map #,Collect #,County Name,Basin Name,Agency Name,Hydro Area,Sensor1,sensor2,sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,,,
ABA,ARROYO DEL HAMBRE,800,37.977,-122.178,MARTINEZ,2,2001,999,999,107,21,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
ACC,ALAMEDA CK BL CALAVERAS CK NR SUNOL CA,430,37.504,-121.824,SUNOL,2,2101,999,999,58,23,2,SANTA CLARA,ALAMEDA CR,US Geological Survey,SAN FRANCISCO BAY,1,14,,,,,,,,,,,,,,,,,,,,,,
ACD,ALAMEDA CK ABOVE DIV DAM NR SUNOL CA,930,37.49743652,-121.7735672,SUNOL,2,2101,999,999,58,23,0,SANTA CLARA,ALAMEDA CR,US Geological Survey,SAN FRANCISCO BAY,1,14,25,,,,,,,,,,,,,,,,,,,,,
ACM,ARROYO CORTE MADERA DEL PRESIDIO,3,37.898,-122.535,MILL VALLEY,2,2801,999,999,121,22,0,MARIN,SF BAY,Marin County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
ACZ,ALHAMBRA CREEK AT D STREET,59,38.00339914,-122.1296688,MARTINEZ,2,2001,999,999,107,15,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
ALC,ALAMO CREEK AT PLEASANTS VALLEY ROAD,259,38.37409,-122.024987,VACAVILLE,2,2801,221,221,221,0,99,SOLANO,SF BAY,Solano County Water Agency,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
ALN,ALAMEDA CK NR NILES,86,37.5871582,-121.9607925,NILES,2,2101,999,999,58,23,0,ALAMEDA,ALAMEDA CR,US Geological Survey,SAN FRANCISCO BAY,1,14,20,25,,,,,,,,,,,,,,,,,,,,
ANC,ANTIOCH (USBR),10,38.017817,-121.802965,ANTIOCH,5,8101,999,999,50,16,0,CONTRA COSTA,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,102,,,,,,,,,,,,,,,,,,,,
ANH,SAN JOAQUIN RIVER AT ANTIOCH,10,38.0178299,-121.8029633,ANTIOCH,5,9001,999,999,705,999,0,CONTRA COSTA,SAN JOAQUIN R,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,4,5,9,10,14,25,26,27,28,61,62,100,102,141,146,,,,,,,,
ANU,ARGONAUT DAM CA ARB RAWS,1513,38.3536,-120.7902,JACKSON,6,8301,999,999,716,17,2,AMADOR,MOKELUMNE R,CA Air Resources Board,SAN JOAQUIN RIVER,2,4,9,10,12,14,17,26,45,77,78,,,,,,,,,,,,,
APN,ALPINE LAKE,654,37.94,-122.637,STINSON BEACH,2,1701,999,999,89,22,0,MARIN,COAST-MARIN,Marin Municipal Water District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
APP,ANTIOCH PUMP PLANT,60,37.984,-121.728,ANTIOCH,6,8101,999,999,97,23,0,CONTRA COSTA,DELTA,Contra Costa Water District,SAN JOAQUIN RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATLAS PEAK,1660,38.42833333,-122.2483333,NAPA,2,1901,702,702,702,15,2,NAPA,NAPA R,CA Dept of Water Resources/DFM-Hydro-SMN,SAN FRANCISCO BAY,2,4,14,16,45,,,,,,,,,,,,,,,,,,,
ATS,ANTELOPE SPRINGS,4350,38.503,-120.467,,6,8301,999,999,12,18,0,AMADOR,MOKELUMNE R,Amador Ranger District,SAN JOAQUIN RIVER,3,18,82,,,,,,,,,,,,,,,,,,,,,
AVL,ARROYO VALLE NR LIVERMORE,510,37.62326431,-121.7588425,LIVERMORE,2,2001,999,999,58,23,0,ALAMEDA,EAST BAY,US Geological Survey,SAN FRANCISCO BAY,1,14,20,66,,,,,,,,,,,,,,,,,,,,
